    2    0.11028E-03    0.35732E-03    0.20448E-06    0.10914E+04    0.29535E+01    0.36425E-01    0.21413E-06    0.33709E-09    0.57000E+00
    3    0.11028E-03    0.35732E-03    0.18920E-06    0.51712E+03    0.16914E+01    0.24892E-01    0.99064E-07    0.14195E-09    0.57000E+00
    4    0.11028E-03    0.35732E-03    0.18334E-06    0.29373E+03    0.96652E+00    0.13945E-01    0.57597E-07    0.75671E-10    0.57000E+00
    5    0.11028E-03    0.35733E-03    0.18099E-06    0.18745E+03    0.55846E+00    0.68287E-02    0.37906E-07    0.45940E-10    0.57000E+00
    6    0.11028E-03    0.35733E-03    0.17933E-06    0.12973E+03    0.32639E+00    0.30934E-02    0.26827E-07    0.30300E-10    0.57000E+00
    7    0.11028E-03    0.35734E-03    0.17867E-06    0.95247E+02    0.19428E+00    0.14713E-02    0.20047E-07    0.21180E-10    0.57000E+00
    8    0.11029E-03    0.35734E-03    0.17795E-06    0.73128E+02    0.11942E+00    0.87989E-03    0.15529E-07    0.15459E-10    0.57000E+00
    9    0.11029E-03    0.35735E-03    0.17776E-06    0.58125E+02    0.77508E-01    0.67789E-03    0.12410E-07    0.11670E-10    0.57000E+00
   10    0.11029E-03    0.35736E-03    0.17739E-06    0.47476E+02    0.54411E-01    0.58520E-03    0.10133E-07    0.90512E-11    0.57000E+00
   11    0.11029E-03    0.35736E-03    0.17666E-06    0.39651E+02    0.41849E-01    0.52045E-03    0.84092E-08    0.72114E-11    0.57000E+00
   12    0.11029E-03    0.35737E-03    0.17581E-06    0.33726E+02    0.34964E-01    0.47451E-03    0.70811E-08    0.58129E-11    0.57000E+00
   13    0.11030E-03    0.35738E-03    0.17506E-06    0.29123E+02    0.30973E-01    0.44799E-03    0.60438E-08    0.47708E-11    0.57000E+00
   14    0.11030E-03    0.35739E-03    0.17458E-06    0.25465E+02    0.28383E-01    0.43562E-03    0.52233E-08    0.39526E-11    0.57000E+00
   15    0.11030E-03    0.35740E-03    0.17443E-06    0.22515E+02    0.26442E-01    0.43008E-03    0.45665E-08    0.33179E-11    0.57000E+00
   16    0.11031E-03    0.35742E-03    0.17463E-06    0.20099E+02    0.24797E-01    0.42700E-03    0.40339E-08    0.28154E-11    0.57000E+00
   17    0.11031E-03    0.35743E-03    0.17515E-06    0.18088E+02    0.23313E-01    0.42556E-03    0.35964E-08    0.24101E-11    0.57000E+00
   18    0.11031E-03    0.35744E-03    0.17591E-06    0.16394E+02    0.21976E-01    0.42641E-03    0.32318E-08    0.20764E-11    0.57000E+00
   19    0.11032E-03    0.35746E-03    0.17678E-06    0.14957E+02    0.20794E-01    0.42948E-03    0.29230E-08    0.18015E-11    0.57000E+00
